ID,Name,Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
5830987,hapijs/joi,21045,1512,10167,JavaScript,master,"hapi, javascript, schema, validation",184,Other,https://github.com/hapijs/joi,https://github.com/hapijs,,2012-09-16T16:38:06Z,2025-02-24T22:29:48Z
16989371,MagicMirrorOrg/MagicMirror,21013,4286,24411,JavaScript,master,"domotics, javascript, magicmirror, mirror, raspberry-pi, smarthome",31,"MIT License",https://github.com/MagicMirrorOrg/MagicMirror,https://github.com/MagicMirrorOrg,http://magicmirror.builders,2014-02-19T15:48:09Z,2025-02-24T22:44:44Z
23141830,paularmstrong/normalizr,20943,869,2471,JavaScript,master,"api, flux, javascript, json, normalize, normalizr, reactjs, redux",22,"MIT License",https://github.com/paularmstrong/normalizr,https://github.com/paularmstrong,,2014-08-20T08:41:38Z,2025-02-23T08:51:56Z
28538501,react-grid-layout/react-grid-layout,20883,2617,15311,JavaScript,master,"drag-and-drop, es2015, grid, javascript, react, resize",229,"MIT License",https://github.com/react-grid-layout/react-grid-layout,https://github.com/react-grid-layout,https://react-grid-layout.github.io/react-grid-layout/examples/0-showcase.html,2014-12-27T14:28:40Z,2025-02-24T14:42:33Z
478584,jsdom/jsdom,20808,1724,45750,JavaScript,main,"dom-apis, html, javascript, jsdom, nodejs",533,"MIT License",https://github.com/jsdom/jsdom,https://github.com/jsdom,,2010-01-19T06:55:19Z,2025-02-25T01:17:42Z
62104779,SortableJS/Vue.Draggable,20293,2891,15158,JavaScript,master,"component, drag-and-drop, vue",284,"MIT License",https://github.com/SortableJS/Vue.Draggable,https://github.com/SortableJS,https://sortablejs.github.io/Vue.Draggable/,2016-06-28T02:50:19Z,2025-02-25T01:27:38Z
69798748,verekia/js-stack-from-scratch,20097,1990,1808,JavaScript,master,"bootstrap, eslint, flow, heroku, immutablejs, javascript, jest, jss, nodemon, pm2, react, react-router, redux, server-side-rendering, sinon, socket-io, stack, tutorial, webpack, yarn",49,"MIT License",https://github.com/verekia/js-stack-from-scratch,https://github.com/verekia,,2016-10-02T13:31:23Z,2025-02-24T00:47:13Z
39315600,be5invis/Iosevka,19829,592,12560789,JavaScript,main,"font, iosevka, ligatures, monospace-font, opentype-features, programming-font, programming-ligatures, typeface",96,"SIL Open Font License 1.1",https://github.com/be5invis/Iosevka,https://github.com/be5invis,http://be5invis.github.io/Iosevka,2015-07-18T23:10:59Z,2025-02-24T23:28:26Z
159981830,spicetify/cli,19577,745,7000,JavaScript,main,"command-line, command-line-tool, customization, golang, hacktoberfest, linux, macos, spicetify-cli, spicetify-extensions, spotify, windows",9,"GNU Lesser General Public License v2.1",https://github.com/spicetify/cli,https://github.com/spicetify,https://spicetify.app,2018-12-01T19:55:18Z,2025-02-24T23:53:14Z
9690430,nuysoft/Mock,19571,2658,5409,JavaScript,refactoring,,340,Other,https://github.com/nuysoft/Mock,https://github.com/nuysoft,http://mockjs.com,2013-04-26T08:06:57Z,2025-02-24T07:30:24Z
