ID,Name,Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
154027884,samber/awesome-prometheus-alerts,6929,1043,1224,HTML,master,"alert, alerting, alerting-rules, alertmanager, awesome, collection, exporter, grafana, monitoring, prometheus, prometheus-alerting-rules, promql, query, rule, supervision",38,Other,https://github.com/samber/awesome-prometheus-alerts,https://github.com/samber,https://samber.github.io/awesome-prometheus-alerts/,2018-10-21T16:18:02Z,2025-02-24T22:40:56Z
177236664,goproxy/goproxy.cn,6900,394,9808,HTML,master,"china, go, goproxy, module, proxy",8,"MIT License",https://github.com/goproxy/goproxy.cn,https://github.com/goproxy,https://goproxy.cn,2019-03-23T02:53:33Z,2025-02-25T01:42:19Z
530923405,tjy-gitnub/win12,6790,847,15824,HTML,main,"css, html, js, windows-12",37,"Eclipse Public License 2.0",https://github.com/tjy-gitnub/win12,https://github.com/tjy-gitnub,https://tjy-gitnub.github.io/win12/desktop.html,2022-08-31T03:34:00Z,2025-02-24T21:18:11Z
705222810,MrNeRF/awesome-3D-gaussian-splatting,6782,416,31699,HTML,main,"3d-gaussian-splatting, 3dgs, gaussian-splatting, nerf, neural-rendering",1,"MIT License",https://github.com/MrNeRF/awesome-3D-gaussian-splatting,https://github.com/MrNeRF,,2023-10-15T12:08:17Z,2025-02-24T12:04:08Z
1706871,davatron5000/FitText.js,6743,1381,175,HTML,master,,27,,https://github.com/davatron5000/FitText.js,https://github.com/davatron5000,http://fittextjs.com,2011-05-05T15:17:25Z,2025-02-24T16:16:46Z
57602929,open-power-workgroup/Hospital,6721,1010,7307,HTML,master,,43,Other,https://github.com/open-power-workgroup/Hospital,https://github.com/open-power-workgroup,http://open-power-workgroup.github.io/Hospital,2016-05-01T14:59:21Z,2025-02-19T20:00:36Z
9394642,kristopolous/BOOTSTRA.386,6702,310,51033,HTML,master,"bootstrap-theme, css, msdos",45,"Apache License 2.0",https://github.com/kristopolous/BOOTSTRA.386,https://github.com/kristopolous,https://bootstra386.com,2013-04-12T13:17:25Z,2025-02-24T14:18:26Z
24668606,paddingme/Front-end-Web-Development-Interview-Question,6633,1178,524,HTML,master,"front-end-interview, interview, interview-preparation, interview-questions",17,,https://github.com/paddingme/Front-end-Web-Development-Interview-Question,https://github.com/paddingme,https://fe.padding.me,2014-10-01T06:52:41Z,2025-02-24T01:09:26Z
4065790,railsgirls/guides.railsgirls.com,6603,744,11754,HTML,main,"hacktoberfest, rails, ruby, tutorial",19,Other,https://github.com/railsgirls/guides.railsgirls.com,https://github.com/railsgirls,https://guides.railsgirls.com/,2012-04-18T16:28:59Z,2025-02-24T01:23:10Z
286645686,yuantuo666/baiduwp-php,6509,1390,5223,HTML,master,"baidunetdisk, baiduyun, php",0,"MIT License",https://github.com/yuantuo666/baiduwp-php,https://github.com/yuantuo666,,2020-08-11T04:31:07Z,2025-02-23T10:41:13Z
832452447,web-infra-dev/midscene,6485,345,367607,HTML,main,"ai, ai-test, browser-use, computer-use, gpt, gpt-operator, javascript, testing",40,"MIT License",https://github.com/web-infra-dev/midscene,https://github.com/web-infra-dev,https://midscenejs.com,2024-07-23T04:03:50Z,2025-02-25T01:52:47Z
7474917,fool2fish/dragon-book-exercise-answers,6451,1780,1593,HTML,master,,145,,https://github.com/fool2fish/dragon-book-exercise-answers,https://github.com/fool2fish,,2013-01-07T01:05:24Z,2025-02-24T17:25:09Z
2592600,WebpageFX/emoji-cheat-sheet.com,6360,1470,17384,HTML,master,,56,Other,https://github.com/WebpageFX/emoji-cheat-sheet.com,https://github.com/WebpageFX,http://www.emoji-cheat-sheet.com,2011-10-17T15:09:52Z,2025-02-23T12:08:32Z
